countystate,county,price,state,FIPS
"Autauga County, AL",Autauga,3.226,AL,01001
"Baldwin County, AL",Baldwin,3.204,AL,01003
"Barbour County, AL",Barbour,3.274,AL,01005
"Bibb County, AL",Bibb,3.167,AL,01007
"Blount County, AL",Blount,3.167,AL,01009
"Bullock County, AL",Bullock,3.299,AL,01011
"Butler County, AL",Butler,3.336,AL,01013
"Calhoun County, AL",Calhoun,3.086,AL,01015
"Chambers County, AL",Chambers,3.192,AL,01017
"Cherokee County, AL",Cherokee,3.167,AL,01019
"Chilton County, AL",Chilton,3.119,AL,01021
"Choctaw County, AL",Choctaw,3.167,AL,01023
"Clarke County, AL",Clarke,3.167,AL,01025
"Clay County, AL",Clay,3.167,AL,01027
"Cleburne County, AL",Cleburne,3.167,AL,01029
"Coffee County, AL",Coffee,3.219,AL,01031
"Colbert County, AL",Colbert,3.114,AL,01033
"Conecuh County, AL",Conecuh,3.254,AL,01035
"Coosa County, AL",Coosa,3.167,AL,01037
"Covington County, AL",Covington,3.154,AL,01039
"Crenshaw County, AL",Crenshaw,3.167,AL,01041
"Cullman County, AL",Cullman,3.175,AL,01043
"Dale County, AL",Dale,3.18,AL,01045
"Dallas County, AL",Dallas,3.099,AL,01047
"DeKalb County, AL",DeKalb,3.165,AL,01049
"Elmore County, AL",Elmore,3.193,AL,01051
"Escambia County, AL",Escambia,3.243,AL,01053
"Etowah County, AL",Etowah,3.112,AL,01055
"Fayette County, AL",Fayette,3.167,AL,01057
"Franklin County, AL",Franklin,3.073,AL,01059
"Geneva County, AL",Geneva,3.167,AL,01061
"Greene County, AL",Greene,3.167,AL,01063
"Hale County, AL",Hale,3.167,AL,01065
"Henry County, AL",Henry,3.167,AL,01067
"Houston County, AL",Houston,3.197,AL,01069
"Jackson County, AL",Jackson,3.196,AL,01071
"Jefferson County, AL",Jefferson,3.162,AL,01073
"Lamar County, AL",Lamar,3.239,AL,01075
"Lauderdale County, AL",Lauderdale,3.134,AL,01077
"Lawrence County, AL",Lawrence,3.199,AL,01079
"Lee County, AL",Lee,3.191,AL,01081
"Limestone County, AL",Limestone,3.163,AL,01083
"Lowndes County, AL",Lowndes,3.167,AL,01085
"Macon County, AL",Macon,3.167,AL,01087
"Madison County, AL",Madison,3.144,AL,01089
"Marengo County, AL",Marengo,3.249,AL,01091
"Marion County, AL",Marion,3.167,AL,01093
"Marshall County, AL",Marshall,3.107,AL,01095
"Mobile County, AL",Mobile,3.171,AL,01097
"Monroe County, AL",Monroe,3.268,AL,01099
"Montgomery County, AL",Montgomery,3.167,AL,01101
"Morgan County, AL",Morgan,3.126,AL,01103
"Perry County, AL",Perry,3.167,AL,01105
"Pickens County, AL",Pickens,3.167,AL,01107
"Pike County, AL",Pike,3.237,AL,01109
"Randolph County, AL",Randolph,3.207,AL,01111
"Russell County, AL",Russell,3.167,AL,01113
"St. Clair County, AL",St. Clair,3.087,AL,01115
"Shelby County, AL",Shelby,3.117,AL,01117
"Sumter County, AL",Sumter,3.167,AL,01119
"Talladega County, AL",Talladega,3.155,AL,01121
"Tallapoosa County, AL",Tallapoosa,3.18,AL,01123
"Tuscaloosa County, AL",Tuscaloosa,3.141,AL,01125
"Walker County, AL",Walker,3.093,AL,01127
"Washington County, AL",Washington,3.167,AL,01129
"Wilcox County, AL",Wilcox,3.167,AL,01131
"Winston County, AL",Winston,3.167,AL,01133
"Aleutians East County, AK",Aleutians East,3.707,AK,02013
"Aleutians West County, AK",Aleutians West,3.707,AK,02016
"Anchorage County, AK",Anchorage,3.729,AK,02020
"Bethel County, AK",Bethel,3.707,AK,02050
"Bristol Bay County, AK",Bristol Bay,3.707,AK,02060
"Denali County, AK",Denali,3.707,AK,02068
"Dillingham County, AK",Dillingham,3.707,AK,02070
"Fairbanks North Star County, AK",Fairbanks North Star,3.793,AK,02090
"Haines County, AK",Haines,3.707,AK,02100
"Juneau County, AK",Juneau,3.515,AK,02110
"Kenai Peninsula County, AK",Kenai Peninsula,3.586,AK,02122
"Ketchikan Gateway County, AK",Ketchikan Gateway,3.707,AK,02130
"Kodiak Island County, AK",Kodiak Island,3.707,AK,02150
"Lake and Peninsula County, AK",Lake and Peninsula,3.707,AK,02164
"Matanuska-Susitna County, AK",Matanuska-Susitna,3.556,AK,02170
"Nome County, AK",Nome,3.707,AK,02180
"North Slope County, AK",North Slope,3.707,AK,02185
"Northwest Arctic County, AK",Northwest Arctic,3.707,AK,02188
"Prince of Wales-Hyder County, AK",Prince of Wales-Hyder,3.707,AK,02198
"Sitka County, AK",Sitka,3.707,AK,02220
"Southeast Fairbanks County, AK",Southeast Fairbanks,3.707,AK,02240
"Valdez-Cordova County, AK",Valdez-Cordova,4.049,AK,02261
"Wrangell County, AK",Wrangell,3.707,AK,02275
"Yukon-Koyukuk County, AK",Yukon-Koyukuk,3.707,AK,02290
"Hoonah-Angoon County, AK",Hoonah-Angoon,3.707,AK,02105
"Yakutat County, AK",Yakutat,3.707,AK,02282
"Apache County, AZ",Apache,3.5,AZ,04001
"Cochise County, AZ",Cochise,3.458,AZ,04003
"Coconino County, AZ",Coconino,3.753,AZ,04005
"Gila County, AZ",Gila,3.373,AZ,04007
"Graham County, AZ",Graham,3.399,AZ,04009
"Greenlee County, AZ",Greenlee,3.703,AZ,04011
"La Paz County, AZ",La Paz,3.683,AZ,04012
"Maricopa County, AZ",Maricopa,3.789,AZ,04013
"Mohave County, AZ",Mohave,3.565,AZ,04015
"Navajo County, AZ",Navajo,3.545,AZ,04017
"Pima County, AZ",Pima,3.522,AZ,04019
"Pinal County, AZ",Pinal,3.675,AZ,04021
"Santa Cruz County, AZ",Santa Cruz,3.379,AZ,04023
"Yavapai County, AZ",Yavapai,3.509,AZ,04025
"Yuma County, AZ",Yuma,3.582,AZ,04027
"Arkansas County, AR",Arkansas,3.079,AR,05001
"Ashley County, AR",Ashley,3.044,AR,05003
"Baxter County, AR",Baxter,2.972,AR,05005
